Referência:;2019;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;janeiro;;fevereiro;;março;;abril;;maio;;junho;;julho;;agosto;;setembro;;outubro;;novembro;;dezembro;
Subdepartamento;Conta;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado
001.001.0001 - Linha de Produção;001.0001 - Salários;1963130,912;1638111,418;1264827,73;1469395,45;1196558,154;1482997,482;1664686,138;1459779,991;1804661,032;1406041,163;1538135,872;1918172,248;1649234,21;1628014,004;1403640,804;1992569,904;1421152,373;1729579,545;1235783,956;1698011,201;1267863,199;2064567,432;1432773,365;1516587,484
001.001.0002 - Gerência de Produção;001.0001 - Salários;328580,1372;327979,1426;201373,0865;310459,918;349742,762;232803,2149;292988,6429;262473,5397;286548,6819;280295,5987;272831,2514;377310,0241;287032,5623;292329,7;223484,2891;278047,8701;339347,6877;367514,3778;301586,2773;305153,8891;235855,2475;328138,0874;257729,1031;271366,4
001.002.0001 - Equipe de Vendas;001.0001 - Salários;166059,1383;172078,9637;146495,7182;108646,4526;164729,0772;138590,3719;181657,017;151640,969;221249,1748;141595,5252;128298,8898;156890,1666;166425,0988;120075,1601;141470,791;210674,4938;141933,3765;162128,8902;213526,5214;146928,2992;133985,3558;177060,6742;196988,8466;155830,2222
001.002.0002 - Marketing Digital;001.0001 - Salários;65930,82364;72004,89018;72938,61239;61712,16655;55539,1477;60610,14999;77994,21497;65546,95654;63894,18404;74064,25331;72468,95718;72150,00436;57127,42034;77114,03396;79883,51505;59828,28859;78618,02851;83575,44035;64041,06645;57090,33302;74354,7656;70090,98103;85155,8324;73806,72226
001.002.0003 - Pesquisa de Mercado;001.0001 - Salários;25892,95199;30793,28748;29583,98831;23474,6865;31645,70545;24887,7136;31214,86332;25870,55738;24802,81668;27364,41341;24249,97718;27217,34464;30623,66436;27886,19285;21979,54915;28110,05219;26642,76065;35019,61742;25227,83227;31059,83841;30688,33725;23859,08805;31317,29275;25223,71853
001.002.0004 - Gerência de Vendas;001.0001 - Salários;10911,61942;10711,82853;10990,23932;12295,40138;12991,78477;12260,55787;10934,31546;15421,10365;13022,54272;13522,73682;17178,99912;14856,0066;13017,30353;13361,3439;14917,90911;9795,507484;16509,24914;14041,12039;17466,4879;14606,219;15343,33665;15283,8659;15125,35709;10847,02286
001.003.0001 - Recrutamento e Seleção;001.0001 - Salários;20372,27486;21790,05827;23687,66706;20255,4354;25850,92271;17169,81675;27969,82635;24098,41145;20909,19133;28784,5707;17570,83467;24020,92669;28650,0576;25920,19241;27674,55312;29314,73105;28765,72327;31905,64238;27697,34325;22798,13107;26371,67998;31115,79171;24729,13554;23551,9321
001.003.0002 - Treinamento e Desenvolvimento;001.0001 - Salários;19794,46512;22546,40912;22914,98825;15990,78785;18120,32575;21450,81078;18098,98985;18756,23772;18026,9995;24423,97554;19515,6422;20321,11711;18212,66487;19052,18488;20335,85386;22824,05392;20205,00586;20181,58573;23343,29835;22520,14121;23696,19322;16642,38788;25088,62115;26141,76226
001.003.0003 - Remuneração e Benefícios;001.0001 - Salários;14365,62914;15239,41362;14413,54348;13509,85278;16074,03422;17174,08687;14683,46215;15131,39503;18921,168;15011,42813;13019,91661;15450,74137;19163,88276;14761,93971;21807,35639;15335,55878;16114,33006;19137,41586;19104,09193;16883,61437;20850,00463;15421,46688;21724,85328;18338,02294
001.003.0004 - Relações Trabalhistas;001.0001 - Salários;10281,32526;9734,080313;11892,92369;12720,78868;13310,74236;11254,11017;9130,917312;13838,78617;10359,57469;12587,64154;15751,75217;11325,3953;9694,66201;10656,58158;15171,51483;13836,76047;13286,01824;13309,88331;16935,13656;14739,79821;12296,05051;10257,31594;15554,74242;14017,74904
001.003.0005 - Gerência de RH;001.0001 - Salários;7681,265429;7714,87831;6624,287521;7988,285922;8248,387894;8050,920413;7929,643198;8319,355857;6825,824011;9568,910127;8957,399088;6899,69266;7207,377344;7932,548575;6290,481299;10002,85497;9566,064284;10168,43134;7873,496678;9870,916938;5986,922761;10032,22386;9133,539415;8892,147208
001.004.0001 - Contabilidade Geral;001.0001 - Salários;16913,43316;22318,63152;19652,43555;20377,11602;15511,6797;21128,66278;16844,70876;19556,52001;22079,11757;17249,52654;20324,37004;21611,83931;20456,84568;24221,30883;25350,13414;17326,89524;22522,7907;22487,70854;17390,97585;19047,60554;17463,0311;25669,0205;19588,83854;26565,71855
001.004.0002 - Planejamento Financeiro;001.0001 - Salários;10546,43258;13429,47355;9777,000292;15653,61526;14392,0125;11303,25659;15907,75772;13146,81962;15101,98917;14024,20399;13275,90347;11906,63208;11455,54788;14339,44291;11717,68875;15978,34233;16917,34569;14053,84184;14420,3083;14180,89696;14696,97554;10850,02321;12521,77992;11807,18947
001.004.0003 - Tesouraria;001.0001 - Salários;9345,673984;11502,57952;12091,17986;8235,144787;13204,77038;12770,93614;9659,583618;11785,73717;13536,68083;11539,04278;12998,27574;8213,524606;11238,28665;10845,82635;12024,49392;13868,2971;9414,715287;10539,34666;10631,72929;13460,95569;14095,52954;9503,828457;12343,47956;10037,33938
001.004.0004 - Controladoria;001.0001 - Salários;7437,427284;7480,11495;8020,828498;7662,384576;7278,539568;7580,093167;8756,455387;7519,39192;8198,8158;9539,008799;8119,668409;8375,716565;7498,406093;7346,660354;6396,355801;9092,841103;8955,783957;7710,055848;6749,862881;10574,41983;7053,916919;9302,93659;8577,480916;8932,607518
001.005.0001 - Pesquisa e Desenvolvimento;001.0001 - Salários;32160,35933;25696,74836;24041,80931;27406,08509;32074,47487;21217,58377;26485,34097;29623,34398;34277,2411;28214,31012;24280,4849;29798,66646;31259,41771;27930,24371;28051,08016;22775,06765;26884,96127;31323,29298;33390,84453;30038,31803;25559,97134;36587,76468;25586,76824;25578,12452
001.006.0001 - Testes de Qualidade;001.0001 - Salários;58279,28791;44060,38574;49368,41663;52680,83816;64295,4289;63941,48779;65266,57143;44237,8012;65360,09798;50514,29081;47225,16147;69863,83095;57528,24245;52873,81263;53025,31367;66194,12419;53682,14445;56313,69361;63267,10659;66092,60149;59312,11707;73680,7905;62826,1292;62566,06497
001.006.0002 - Inspeção de Produtos;001.0001 - Salários;15004,89385;14876,86183;19815,98335;13944,85872;13912,63082;13128,72777;17319,57471;13991,00723;16346,23199;19641,95936;16755,65238;17006,42783;18094,70657;20068,79176;18370,79898;21066,92373;15442,33763;13868,77238;17736,83673;15576,48565;17203,57813;17406,34027;15061,23497;14267,89583
001.006.0003 - Documentação Legal;001.0001 - Salários;7792,429532;7811,006136;9381,245646;6231,84376;6219,898268;7933,71189;6627,976725;7508,413124;7890,694673;10429,40177;8876,908884;8218,732971;6958,208191;8083,528226;8312,497386;9549,800868;9597,778482;8192,378943;7111,817523;7928,277796;10238,36471;7142,889243;8132,386391;9904,367621
001.007.0001 - Gerenciamento de Estoques;001.0001 - Salários;16245,59239;20672,27332;19651,16674;21333,08091;17940,50902;23593,07875;21624,8506;21699,42439;18494,11164;26821,98649;27690,3725;18758,89591;21371,95742;25436,61232;19432,63853;22878,52992;20768,28664;21343,24795;21926,30385;21750,46387;20975,70041;29286,5919;20550,49223;20632,40055
