Referência:;2020;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;janeiro;;fevereiro;;março;;abril;;maio;;junho;;julho;;agosto;;setembro;;outubro;;novembro;;dezembro;
Subdepartamento;Conta;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado
001.001.0001 - Linha de Produção;001.0001 - Salários;1933798,517;1459643,777;1130822,057;1341113,944;977621,2359;1334184,9;1610923,115;1309025,652;1458049,18;1292724,942;1259844,064;1739471,476;1569274,166;1474094,225;1186266,66;2011404,676;1346238,97;1413748,247;1010946,646;1522242,338;1035994,267;2065324,472;1185229,726;1455305,282
001.001.0002 - Gerência de Produção;001.0001 - Salários;335130,142;330049,1581;167744,0874;315772,4744;361573,1552;197603,9197;266406,3117;251856,6768;238975,4183;284650,153;219397,1177;387309,7452;270519,9492;247761,9762;186855,2853;232685,0581;314603,6588;366557,5731;242684,9998;311123,5196;206692,5906;294346,9177;223282,1765;223344,5322
001.002.0001 - Equipe de Vendas;001.0001 - Salários;162307,9618;171052,0129;130852,5075;87069,33569;169567,9275;121577,0455;188502,735;133402,6762;220065,6644;116890,407;107492,0731;126112,8819;158303,9414;101208,5538;120788,8975;210719,7573;125315,3842;132340,1464;211858,5744;129727,1669;115237,5507;176194,3381;183174,7943;145911,0756
001.002.0002 - Marketing Digital;001.0001 - Salários;63314,09492;73967,15714;74566,2531;49803,08358;52653,95103;59185,43576;78297,98849;56122,04499;53296,97517;63136,57803;66168,4697;65518,72384;54594,87072;71497,90275;82771,87034;56727,69756;82421,71353;83888,60982;66255,95502;47306,14862;68815,82663;61890,9011;85461,3772;75178,72334
001.002.0003 - Pesquisa de Mercado;001.0001 - Salários;25432,71264;28541,20807;29445,57723;23941,0059;30650,61698;21845,72125;29051,65134;22541,47642;23976,5759;24120,4873;19514,61446;22813,83954;28098,87964;23462,57966;17911,6469;23670,42945;23315,11036;35271,11816;24058,36215;30205,86043;30531,7377;19347,12545;32370,71653;21717,02887
001.002.0004 - Gerência de Vendas;001.0001 - Salários;9547,928991;10223,98482;10209,67537;11976,49452;12870,66925;11735,14942;10449,39447;15908,43603;11850,83394;14033,21287;17456,90228;13226,09467;10650,58644;13662,56906;12810,48561;7845,924321;16475,358;12479,05285;16922,11773;11735,79608;15154,59399;14508,74245;15699,11327;8716,343017
001.003.0001 - Recrutamento e Seleção;001.0001 - Salários;18898,80991;20724,29433;19549,49745;16275,91694;26312,09851;14487,78217;26555,92248;25255,74742;17711,81153;27354,97352;14449,25659;20353,93387;27705,55405;26923,68687;27853,97195;27902,15522;26575,20475;32703,03757;24539,163;19024,97071;27486,81041;30756,64715;21935,12989;19140,85327
001.003.0002 - Treinamento e Desenvolvimento;001.0001 - Salários;19317,40182;22268,74048;23148,65517;14878,88801;16938,18485;18474,60853;16900,63076;18383,12819;15803,1449;25548,20166;19382,93302;16594,97243;16763,47171;18762,89994;19045,80755;22580,06427;16558,73755;18458,44152;20300,26192;21419,14618;24423,90888;15082,40566;25839,74647;25517,8397
001.003.0003 - Remuneração e Benefícios;001.0001 - Salários;13049,34214;12739,66313;13169,26981;12149,49294;16305,85423;17492,31302;13070,21598;14269,23281;18737,3493;12782,81329;11610,15368;14024,90897;19496,0654;15295,28729;22877,87532;15122,13956;16853,60833;18800,4319;17248,36814;13545,2452;21244,27654;14260,06363;22647,08126;18583,82707
001.003.0004 - Relações Trabalhistas;001.0001 - Salários;9537,492351;8021,482617;10608,12519;13055,42473;13631,83808;11352,38102;8105,995662;12788,41427;8346,615935;13202,56367;16454,55203;11128,49444;8191,14179;9953,523088;14925,57228;12184,6188;11922,72985;12352,07696;17386,40595;14049,6027;11723,47559;8608,158637;15570,27032;12477,83253
001.003.0005 - Gerência de RH;001.0001 - Salários;6346,856588;7652,25904;6425,09073;7258,067528;7731,317455;7675,248431;7199,215181;6771,656778;5784,275129;8664,396355;8483,662161;5689,310267;6580,21894;7867,101608;5211,02185;10372,70752;9899,9063;10279,23712;6458,234791;9137,526757;4908,957509;9421,681942;9504,042419;8164,419691
001.004.0001 - Contabilidade Geral;001.0001 - Salários;14363,33598;21238,94876;17487,65681;20881,40047;13216,34806;18585,50108;15313,7928;19536,51052;17799,02151;14499,72812;16672,79569;21567,05164;18229,31453;22147,09144;25785,33348;14768,73219;23184,26397;18353,3509;14129,61863;17513,34105;14584,81079;24026,998;19060,6819;25928,19267
