Referência:;2023;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;janeiro;;fevereiro;;março;;abril;;maio;;junho;;julho;;agosto;;setembro;;outubro;;novembro;;dezembro;
Subdepartamento;Conta;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado
001.001.0001 - Linha de Produção;001.0001 - Salários;1845518,2;2196595,104;2029902,44;2696074,507;2213489,76;2734633,105;1722081,44;2646165,623;2514721,56;0;1858863,63;0;2206667,91;0;1965962,25;0;2076093,52;0;1957429,01;0;2589718,2;0;1892188,65;0
001.001.0002 - Gerência de Produção;001.0001 - Salários;371423,45;382679,8674;399546,01;490495,9758;424976,46;421586,4847;366201,33;408047,11;303940,46;0;358473,13;0;354296,36;0;432000,42;0;370502,39;0;368435,57;0;324330,76;0;340085,95;0
001.002.0001 - Equipe de Vendas;001.0001 - Salários;229848,06;232919,6842;220701,51;241023,6723;228700,28;232024,4927;194150,67;222787,6154;191610,88;0;250153,96;0;193154,39;0;207597,44;0;246500,31;0;190141,38;0;235639,21;0;180133,8;0
001.002.0002 - Marketing Digital;001.0001 - Salários;81709,53;86881,43737;85355,93;80142,75951;98643,84;115757,5999;87997,55;109920,3912;102753,7;0;81986,83;0;79754,89;0;75701,87;0;99978,28;0;96604,45;0;87211,65;0;85728,25;0
001.002.0003 - Pesquisa de Mercado;001.0001 - Salários;35183,1;32343,751;30786,99;32254,50166;35149,69;41243,29492;35193,88;42957,37377;34736,16;0;35852,68;0;39705,36;0;42666,18;0;37748,56;0;36998,16;0;38528,28;0;31846,88;0
001.002.0004 - Gerência de Vendas;001.0001 - Salários;15798,55;17911,35852;18633,01;18833,82247;18829,66;21729,36792;17684,71;25065,50819;16908,98;0;15759,32;0;16083,72;0;15067,12;0;18516,67;0;21420,18;0;15762,04;0;16158,84;0
001.003.0001 - Recrutamento e Seleção;001.0001 - Salários;29486,75;34862,18677;29880,66;27378,93922;31902,89;41573,4411;28717,91;29199,12156;28750,42;0;27800,58;0;31840,33;0;33483,88;0;31625,2;0;39892,98;0;36434,18;0;35252,15;0
001.003.0002 - Treinamento e Desenvolvimento;001.0001 - Salários;19600,72;23397,61608;22429,52;29550,84588;28426,41;36273,98941;24670,5;32341,53462;24245,29;0;27932,69;0;22562,55;0;25346,8;0;33029,38;0;32323,76;0;23376,6;0;24539,6;0
001.003.0003 - Remuneração e Benefícios;001.0001 - Salários;21846,43;24145,07188;22760,87;24363,51394;22818,4;24958,04094;20232,79;21664,07348;24613,19;0;17983,79;0;22843,57;0;20922,74;0;21741,78;0;24388,21;0;21464,91;0;26464,16;0
001.003.0004 - Relações Trabalhistas;001.0001 - Salários;12589,64;15315,73555;17595,04;15942,59642;17643,35;17050,22094;13857,48;23120,9955;14429,08;0;19369,45;0;15725,26;0;18430,91;0;18463,58;0;18974,65;0;15239,94;0;14600,93;0
001.003.0005 - Gerência de RH;001.0001 - Salários;8937,83;11585,88601;8609,67;13973,24853;8737,35;13190,1406;8883,37;10712,88716;10660,6;0;9858,7;0;10849,71;0;10804,47;0;9598,14;0;12190,83;0;9756,02;0;12505,69;0
001.004.0001 - Contabilidade Geral;001.0001 - Salários;22222,26;34274,95082;23190,16;32347,58703;29707,09;28650,1833;27171,56;33730,36226;30775,29;0;27893,66;0;25014,87;0;24910,14;0;32305,44;0;29587,23;0;26597,2;0;33855,96;0
001.004.0002 - Planejamento Financeiro;001.0001 - Salários;15808,95;17872,69962;15668,81;20949,2833;19293,58;14598,78847;16949,58;21165,6493;16205,6;0;19522,26;0;16303,29;0;16056,16;0;16132,15;0;17880,72;0;17679,39;0;18424,24;0
