Referência:;2022;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;janeiro;;fevereiro;;março;;abril;;maio;;junho;;julho;;agosto;;setembro;;outubro;;novembro;;dezembro;
Subdepartamento;Conta;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado;Budget;Realizado
001.001.0001 - Linha de Produção;001.0001 - Salários;1879891,78;1713176,31;1772116,32;1888469,03;1605683,54;1906154,97;2164759,82;1850935,59;1664284,65;2199469,5;2331982,29;2096060,69;1976457,03;2113554,31;2024961,75;2290292,71;2367029,02;1840017,23;2454713,54;2134353,89;2242797,22;1944705,79;2029319,23;1937739,86
001.001.0002 - Gerência de Produção;001.0001 - Salários;283473,51;261405,23;367985,75;265149,68;288593,56;344914,9;428987,73;289919,1;421176,87;287633,14;422535,71;334222,98;376856,15;303118,11;361757,59;373130,78;360403,16;410906,45;422307,83;381657,21;331107,43;293288,81;302088,71;284586,42
001.002.0001 - Equipe de Vendas;001.0001 - Salários;183943,68;180412,61;193804,51;157646,45;179947,16;148968,06;183153,89;218297,57;233742,21;165394,38;218232,03;220662,55;213062,64;217352,79;231143,03;196204,28;221340,05;179633,37;213970,15;182555,22;251438,21;220568;208112,15;195363,49
001.002.0002 - Marketing Digital;001.0001 - Salários;63089,44;86044,74;62881,27;68628,56;69318,89;78588,81;76170,8;67579,58;72934,31;89478,51;77446,78;99932,15;85875,4;69020,41;79224,42;79668,62;77787,5;77928,37;79318,55;86106,95;99978,71;75135,8;90851,29;80647,48
001.002.0003 - Pesquisa de Mercado;001.0001 - Salários;32907,83;28418,52;33644,97;36099,3;34022,74;34966,28;36825,26;35528,04;38316,75;29828,72;40497,09;37682,3;29199,17;38405,22;40198,04;32528,02;31180,94;38229,11;36040,2;29780,88;42007,09;34635,42;35615,85;37118,12
001.002.0004 - Gerência de Vendas;001.0001 - Salários;16587,82;16842,16;16286,75;17363,15;16864,18;15868,33;14653,92;19356,49;15643,92;18701,79;19933,73;17157,28;19540,77;17239,87;16733,17;13289,83;16632,83;19216,72;15629,9;17733,89;16322,61;19539,48;15176,83;14404,55
001.003.0001 - Recrutamento e Seleção;001.0001 - Salários;27410,84;24623,06;31377,51;22680,32;30662,25;23882,42;32921,32;30007,9;28935,29;32578,05;36350,91;34598,19;28495,28;30561,85;26742,6;25579,37;29541,81;34347,69;29173,24;24675,94;37077,92;29786,8;35407,55;26380,44
001.003.0002 - Treinamento e Desenvolvimento;001.0001 - Salários;27248,62;26103,55;26528,15;24367,95;21724,89;21042,28;27051,02;20750,95;24092,36;25010,45;21778,89;26506,11;28130,19;21829,01;22577,39;28093,62;24432,33;24711,12;29491,87;24512,09;24514,78;22587,41;27431,14;26824,17
001.003.0003 - Remuneração e Benefícios;001.0001 - Salários;21659,36;16147,24;18882,33;20383,17;15200,99;21077,05;17039,23;16608,15;17272,69;16195,63;21399,23;22868,95;20144,51;21113,36;16421,15;18937,9;19392,65;19388,9;20689,3;16338,04;22059,39;22798,15;19815,78;21847,99
001.003.0004 - Relações Trabalhistas;001.0001 - Salários;16374,98;15567,24;12387,07;15249,48;16648,29;13106,03;14756,93;12325,23;12816,17;13325,16;18604,85;14352,31;13925,53;15960,61;15610,13;13914,46;15317,94;15567,25;17034,51;15847,32;15793,07;15787,55;15996,18;15722,35
001.003.0005 - Gerência de RH;001.0001 - Salários;8308,31;9940,9;7673,2;10016,56;9211,09;9020,67;9379,05;10865,75;9435,94;11137,64;11050,67;8293,7;10434,28;9182,34;8379,84;10276,86;11177,02;11268;11810,32;11153,06;10218,37;11750,85;11046,92;10613,64
001.004.0001 - Contabilidade Geral;001.0001 - Salários;23912,62;24993,83;27796,8;23819;27528,71;23988,7;33027,2;25238,92;33106,64;28367,84;25521,16;28041,31;31486,05;28885,93;23866,43;24264,34;25318,1;26297,77;31774,85;28647,77;25725,86;22842,03;26066,63;23256,7
001.004.0002 - Planejamento Financeiro;001.0001 - Salários;13033,52;16900,54;18335,6;17016,85;16743,95;12579,09;20006,18;13186,78;15380,5;18039,11;19892,5;16650,85;20484,33;16495,66;17765,6;17328,51;20315,79;19941,07;17997,66;16549,07;20645,76;17073,44;19909,3;16563,65
001.004.0003 - Tesouraria;001.0001 - Salários;14004,68;10283,79;11191,66;11826,05;13073,48;10991,23;15739,16;14367,57;15077,68;12461,16;15095,07;11886,91;15037,23;14398,21;14915,88;14388,01;13622,18;16246,27;13071,69;15356,2;14210,6;11277,22;15073,12;14787,37
001.004.0004 - Controladoria;001.0001 - Salários;8089,82;9382,49;8310,57;7347,94;8224,71;10438,16;10670,65;10210,13;8888,78;11026,13;9486,09;9488,07;9551,73;8418,46;10802,15;8745,53;11864,43;11417,02;11005,5;8595,04;12534,24;11170,46;9556,18;9991,82
001.005.0001 - Pesquisa e Desenvolvimento;001.0001 - Salários;30569,13;29161,57;35215,26;29473,56;27343,17;30084,27;31522,39;30437,13;29942,16;39022,83;33951,93;32552,23;34497,84;34163,65;36491,91;34838,15;34800,14;38153,22;34311,51;32170,42;36538,36;31252,1;30703,8;27977,9
001.006.0001 - Testes de Qualidade;001.0001 - Salários;69975,34;58045,8;65553,5;69079,69;76962,98;70042,3;81121,7;69402,82;63803,01;68905,55;84212,34;82444,3;83175,82;61408,24;77132,4;61852,38;74611,16;83096,86;59669,8;64890,97;64191,52;66051,39;73967,95;75850,32
001.006.0002 - Inspeção de Produtos;001.0001 - Salários;15463,84;14793,41;17681,52;17623,73;17790,99;21183,12;22359,66;18347,27;21224,29;20014,41;19787,53;18830,8;23388,5;23133,23;16784,68;19852,1;21088,32;24190,86;20311,22;16464,62;21060,59;18411,89;19851,22;16032,34
001.006.0003 - Documentação Legal;001.0001 - Salários;9116,76;8843,14;9303,7;8326,7;8530,86;10550,58;8749,96;9203,66;8987,42;10957,99;10596,59;8862,12;9025,58;10780,65;8871,03;9351,62;11627,71;8894,49;11320,67;8116,28;10241,97;11920,36;9079,65;8242,09
001.007.0001 - Gerenciamento de Estoques;001.0001 - Salários;28923,75;23033,98;21398,37;25932,33;23148,83;27534,3;27415,34;24006,11;32433,81;23645,54;26853,75;25498,37;28260,9;23250,23;32382,6;26845,1;27291,9;32401,83;28655,27;23624,91;26623,24;23188,44;28116,7;29395,23
001.007.0002 - Transporte e Distribuição;001.0001 - Salários;18179,73;18880,5;23724,47;23598,66;20693,94;24143,59;24539,87;19229,15;21908,67;20522,88;25400,57;19858,45;27284,61;24631,1;24769,82;25492,35;23085,32;27994,26;21003,74;20377,15;26969,73;22557,47;19341,34;27582,22
001.007.0003 - Aquisição e Compras;001.0001 - Salários;10377,34;11832,04;13844,78;14409,24;11466,53;9859,68;15011,16;15206,73;15183,22;14213,67;14009,7;11045,11;11288,6;11621,35;14628,9;14916,14;11393,72;16283,22;13742,05;10945,43;11975,1;12485,61;14995,89;15799,79
001.007.0004 - Planejamento de Suprimentos;001.0001 - Salários;3590,64;3172,09;2665,13;3172,81;2938,74;2799,1;4048,75;3805,75;3414,09;3543,69;3801,92;3842,24;3102,58;3445,22;3657,47;3675,88;3058,77;4041,74;3246,01;3149,07;4145,72;2882,3;3860,29;2983,94
001.008.0001 - Suporte Técnico;001.0001 - Salários;37452,96;30428,84;38431,28;36813,76;37087,8;29821,56;44936,64;42418,96;35203,89;40237,14;47816,67;39145,79;47843,66;31789,77;39210;34504,05;46584,97;42853,19;50135,59;40429,47;34670,31;38793,42;34239,8;38913,95
001.008.0002 - Desenvolvimento de Software;001.0001 - Salários;30595,48;29191,81;28675,68;23136,56;32265,47;27552,22;32667,11;26820,19;36890,44;34357,11;32900,08;30031,06;26824,77;24826,66;33776,52;31971,45;29320,12;34115,14;36114,24;35663,24;25617,71;32053,87;24644,13;28195,71
